CAS No.,英文名稱,中文名稱
100-01-6,p-Nitroaniline,對硝基苯胺
100-02-7,4-Nitrophenol,4-硝基苯酚
100-02-7,p-Nitrophenol,對硝基苯酚
100-09-4,p-Anisic acid,對茴香酸 (4-甲氧基苯甲酸)
100-09-4,p-Anisic acid,對茴香酸
100-11-8,4-Nitrobenzyl bromide,4-硝基溴化苄
100-21-0,Terephthalic acid,對苯二甲酸
100-39-0,Benzyl bromide,溴化苄 (苄基溴)
100-42-5,Styrene,苯乙烯
100-43-6,4-Vinylpyridine,4-乙烯基吡啶
100-46-9,Benzylamine,苄胺
100-47-0,Benzonitrile,苯甲腈
100-51-6,Benzyl alcohol,苯甲醇
100-52-7,Benzaldehyde,苯甲醛
100-53-8,Benzyl mercaptan,苄硫醇 (苯甲硫醇)
100-55-0,3-Pyridinemethanol,3-吡啶甲醇
100-58-3,Phenylmagnesium bromide,苯基溴化鎂
100-59-4,Phenylmagnesium chloride,苯基氯化鎂
100-63-0,Phenylhydrazine,苯肼
100-68-5,Thioanisole,苯甲硫醚 (硫代苯甲醚)
100-70-9,2-Cyanopyridine,2-氰基吡啶
100-73-2,Acrolein dimer,丙烯醛二聚體
10025-69-1,Tin(II) chloride dihydrate,氯化亞錫二水合物
10025-73-7,Chromium(III) chloride,氯化鉻(III)
10025-77-1,"Iron chloride, hexahydrate",氯化鐵六水合物
10025-78-2,Trichlorosilane,三氯矽烷
10025-84-0,Lanthanum(III) chloride heptahydrate,氯化鑭七水合物
10025-87-3,Phosphorus oxychloride,三氯氧磷 (氧氯化磷)
10025-98-7,Potassium tetrachloroplatinate(II),四氯鉑酸鉀
10025-99-7,Potassium tetrachloroplatinate,四氯鉑酸鉀
10026-04-7,Silicon tetrachloride,四氯化矽
10026-13-8,Phosphorus pentachloride,五氯化磷
10028-24-7,Disodium hydrogen phosphate dihydrate,磷酸氫二鈉二水合物
1003-09-4,2-Bromothiophene,2-溴噻吩
1003-67-4,4-Methylpyridine 1-oxide,4-甲基吡啶-N-氧化物
1003-78-7,Dimethyl sulfolane,二甲基環丁碸
10031-22-8,Lead(II) bromide,溴化鉛(II)
10031-22-8,Lead(II) bromide,溴化鉛
10031-43-3,Copper(II) nitrate trihydrate,硝酸銅三水合物
10034-85-2,Hydriodic acid,氫碘酸
10034-88-5,Sodium bisulfate monohydrate,硫酸氫鈉一水合物
10034-99-8,Magnesium sulfate heptahydrate,硫酸鎂七水合物
10035-06-0,Bismuth(III) nitrate pentahydrate,硝酸鉍五水合物
10035-10-6,Hydrogen bromide,溴化氫
10039-54-0,Hydroxylamine sulfate,硫酸羥胺
10039-56-2,Sodium hypophosphite monohydrate,次磷酸鈉一水合物
10039-56-2,"Phosphinic acid, sodium salt, monohydrate",次磷酸鈉一水合物
10043-52-4,Calcium chloride,氯化鈣
1006-94-6,Indol-5-yl methyl ether (5-Methoxyindole),5-甲氧基吲哚
101-54-2,"N-Phenyl-1,4-phenylenediamine","N-苯基-1,4-苯二胺"
101-54-2,4-Aminodiphenylamine,4-胺基二苯胺
101-55-3,4-Bromodiphenyl ether,4-溴二苯醚
101-70-2,"4,4'-Dimethoxydiphenylamine","4,4'-二甲氧基二苯胺"
101-81-5,Diphenylmethane,二苯甲烷
101-84-8,Diphenyl ether,二苯醚
